SatPRN (ID),GPS time,Sat.X,Sat.Y,Sat.Z,Pseudo-Range,CN0,POS.X,POS.Y,POS.Z,Lat,Lon,Alt
G08,2024-04-13 16:53:51.426041+00:00,25023639.6240527,4783845.8041696865,8137692.350133545,21196005.876491368,27.7,4438536.937786618,3085403.9035086036,3376938.4350600094,32.16670230775873,34.80470319700689,1586.8687597448006
G10,2024-04-13 16:53:51.426041+00:00,-1620081.7744787037,17327678.89277763,20172485.06377191,22839528.10111702,48.3,4438536.937786618,3085403.9035086036,3376938.4350600094,32.16670230775873,34.80470319700689,1586.8687597448006
G21,2024-04-13 16:53:51.426041+00:00,15757452.408317765,1890975.9571634931,21856363.72227612,21704707.75126088,45.7,4438536.937786618,3085403.9035086036,3376938.4350600094,32.16670230775873,34.80470319700689,1586.8687597448006
G27,2024-04-13 16:53:51.426041+00:00,23098436.983025927,13303367.387089957,-3014966.440680798,22215117.68794983,37.9,4438536.937786618,3085403.9035086036,3376938.4350600094,32.16670230775873,34.80470319700689,1586.8687597448006
G32,2024-04-13 16:53:51.426041+00:00,7810468.746056123,17849813.844240233,18350828.84000951,21298089.881690666,48.5,4438536.937786618,3085403.9035086036,3376938.4350600094,32.16670230775873,34.80470319700689,1586.8687597448006
